Ref.* (p.ref),Label* (p.label),Type* (p.fk_product_type),For sale* (p.tosell),For purchase* (p.tobuy),Description (p.description),Public URL (p.url),Customs|Commodity|HS code (p.customcode),Country code (p.fk_country),Accounting code (sale) (p.accountancy_code_sell),Accounting code (sale intra-Community) (p.accountancy_code_sell_intra),Accounting code (sale export) (p.accountancy_code_sell_export),Accounting code (purchase) (p.accountancy_code_buy),Accounting code (purchase intra-community) (p.accountancy_code_buy_intra),Accounting code (purchase import) (p.accountancy_code_buy_export),Note (public) (p.note_public),Note (private) (p.note),Weight (p.weight),Weight unit (p.weight_units),Length (p.length),Length unit (p.length_units),Width (p.width),Width unit (p.width_units),Height (p.height),Height unit (p.height_units),Surface (p.surface),Surface unit (p.surface_units),Volume (p.volume),Volume unit (p.volume_units),Duration (p.duration),Nature of product (raw/manufactured) (p.finished),Selling price (excl. tax) (p.price),Min. selling price (p.price_min),Selling price (inc. tax) (p.price_ttc),Minimum Selling price (inc. tax) (p.price_min_ttc),PriceBaseType (p.price_base_type),Tax Rate (p.tva_tx),Creation date (p.datec),CostPrice (p.cost_price)
ref:PREF345678,iPhone 13,0,1,0,Latest smartphone,product_link,customs_code,US,123456,,,,,,public_note,private_note,0.2,kg,0.15,m,0.007,m,0.14,m,0.01,m2,0.0005,m3,365d,manufactured,1200,1000,1500,1200,HT,20,2023-11-29,1000
ref:PREF901234,Samsung Galaxy Watch 4,0,0,0,Smartwatch with fitness tracking,product_link,customs_code,KR,654321,,,,,,public_note,private_note,0.05,kg,0.04,m,0.003,m,0.03,m,0.002,m2,0.0001,m3,365d,manufactured,300,250,350,300,HT,20,2023-11-29,250
ref:PREF567890,Nikon D850,0,1,0,Professional DSLR Camera,product_link,customs_code,JP,987654,,,,,,public_note,private_note,2.5,kg,0.14,m,0.09,m,0.12,m,0.008,m2,0.001,m3,365d,manufactured,3000,2500,3500,3000,HT,20,2023-11-29,2500
ref:PREF123456,PlayStation 5,0,1,0,Next-gen gaming console,product_link,customs_code,JP,789012,,,,,,public_note,private_note,4.5,kg,0.39,m,0.28,m,0.4,m,0.025,m2,0.003,m3,365d,manufactured,500,450,600,500,HT,20,2023-11-29,450
ref:PREF678901,Canon EOS R5,0,0,1,High-end mirrorless camera,product_link,customs_code,JP,543210,,,,,,public_note,private_note,1.5,kg,0.16,m,0.09,m,0.13,m,0.01,m2,0.001,m3,365d,manufactured,3500,3000,4000,3500,HT,20,2023-11-29,3000
ref:PREF234567,Xbox Series X,0,1,0,Powerful gaming console,product_link,customs_code,US,210987,,,,,,public_note,private_note,5.0,kg,0.3,m,0.25,m,0.4,m,0.03,m2,0.004,m3,365d,manufactured,550,500,700,550,HT,20,2023-11-29,500
ref:PREF890123,Amazon Echo Dot,0,0,0,Smart speaker with Alexa,product_link,customs_code,US,876543,,,,,,public_note,private_note,0.3,kg,0.1,m,0.1,m,0.1,m,0.01,m2,0.0005,m3,365d,manufactured,50,40,60,50,HT,20,2023-11-29,40
ref:PREF456789,Google Pixel 6,0,1,0,Flagship smartphone,product_link,customs_code,US,321098,,,,,,public_note,private_note,0.18,kg,0.15,m,0.007,m,0.14,m,0.01,m2,0.0005,m3,365d,manufactured,900,800,1000,900,HT,20,2023-11-29,800
ref:PREF789012,LG OLED TV,0,1,0,High-quality OLED television,product_link,customs_code,KR,987654,,,,,,public_note,private_note,20.5,kg,0.9,m,0.5,m,1.2,m,0.07,m2,0.008,m3,365d,manufactured,2500,2000,3000,2500,HT,20,2023-11-29,2000
ref:PREF34567845,Sony WH-1000XM4,0,0,1,Wireless Noise-Canceling Headphones,product_link,customs_code,JP,123456,,,,,,public_note,private_note,0.25,kg,0.2,m,0.05,m,0.2,m,0.02,m2,0.001,m3,365d,manufactured,300,250,350,300,HT,20,2023-11-29,250
ref:PREF90123424,Apple Watch Series 7,0,0,1,Advanced Smartwatch,product_link,customs_code,US,654321,,,,,,public_note,private_note,0.05,kg,0.04,m,0.003,m,0.03,m,0.002,m2,0.0001,m3,365d,manufactured,400,350,500,400,HT,20,2023-11-29,350
ref:PREF567890556,Google Nest Hub,0,1,0,Smart Display with Google Assistant,product_link,customs_code,US,789012,,,,,,public_note,private_note,1.0,kg,0.2,m,0.15,m,0.2,m,0.03,m2,0.002,m3,365d,manufactured,150,120,180,150,HT,20,2023-11-29,120
ref:PREF23456765,Dell XPS 13,0,1,0,Ultrabook Laptop,product_link,customs_code,US,210987,,,,,,public_note,private_note,1.2,kg,0.3,m,0.2,m,0.3,m,0.02,m2,0.001,m3,365d,manufactured,1300,1100,1600,1300,HT,20,2023-11-29,1100
